file,army,name,type,setup,factors
Manchester/cromwell_heavy_cavalry.svg,manchester,Cromwell,cavalry,1307,7-4-8
Manchester/sidney.svg,manchester,Sidney,cavalry,1306,7-4-8
Manchester/vermydn.svg,manchester,Vermydn,cavalry,1206,7-4-8
Leven/frasier.svg,leven,Frasier,light_cavalry,1304,7-1-6
Newcastle/newcastle_leader.svg,newcastle,Newcastle,leader,2210,1-8
Newcastle/newcastle_infantry_1.svg,newcastle,Newcastle,infantry,1813,6-3-4
Newcastle/newcastle_infantry_2.svg,newcastle,Newcastle,infantry,1812,6-3-4
Newcastle/newcastle_infantry_3.svg,newcastle,Newcastle,infantry,1811,6-3-4
Newcastle/newcastle_infantry_4.svg,newcastle,Newcastle,infantry,2010,6-3-4
Newcastle/newcastle_infantry_5.svg,newcastle,Newcastle,infantry,2011,6-3-4
Newcastle/newcastle_infantry_6.svg,newcastle,Newcastle,infantry,2012,6-3-4
Newcastle/newcastle_infantry_7.svg,newcastle,Newcastle,infantry,2013,6-3-4
Manchester/crfrd_1.svg,manchester,1/Crfrd,infantry,1308,18-2-3
Leven/leslie.svg,leven,Leslie,light_cavalry,1006,4-1-6
Newcastle/eythin.svg,newcastle,Eythin,leader,1916,2-8
Newcastle/goring.svg,newcastle,Goring,leader,1421,2-8
Newcastle/widdring.svg,newcastle,Widdring,cavalry,2210,6-2-8
Newcastle/blakistn.svg,newcastle,Blakistn,cavalry,1916,6-2-8
Newcastle/dacre_1.svg,newcastle,1/Dacre,cavalry,1622,5-2-8
Newcastle/dacre_2.svg,newcastle,2/Dacre,cavalry,1621,5-2-8
Newcastle/carnaby.svg,newcastle,Carnaby,cavalry,1422,3-2-8
Newcastle/langdale.svg,newcastle,Langdale,cavalry,1421,10-2-6
Manchester/crfrd_2.svg,manchester,2/Crfrd,infantry,1309,12-2-4
Leven/kirkeud.svg,leven,Kirkeud,light_cavalry,1007,4-1-6
Leven/balgonie.svg,leven,Balgonie,light_cavalry,0819,4-1-6
Leven/eglinton.svg,leven,Eglinton,light_cavalry,0820,4-1-6
Leven/reserve.svg,leven,Reserve,infantry,0812,7-1-4
Leven/sinclair.svg,leven,Sinclair,infantry,0813,7-1-4
Leven/erskine.svg,leven,Erskine,infantry,0913,7-1-4
Leven/dunhope.svg,leven,Dunhope,infantry,0914,7-1-4
Leven/yester.svg,leven,Yester,infantry,1210,7-1-4
Leven/livgstn.svg,leven,Livgstn,infantry,1211,7-1-4
Leven/coupar.svg,leven,Coupar,infantry,1212,7-1-4
Leven/balcares.svg,leven,Balcares,light_cavalry,1008,4-1-6
Leven/balhsie.svg,leven,Balhsie,light_cavalry,0821,3-1-6
Leven/leven_leader.svg,leven,Leven,leader,0813,1-8
Leven/dunfer.svg,leven,Dunfer,infantry,1213,7-1-4
Leven/killhead.svg,leven,Killhead,infantry,1014,7-1-4
Leven/cassilis.svg,leven,Cassilis,infantry,1015,7-1-4
Leven/bchlch.svg,leven,Bchlch,infantry,1016,7-1-4
Leven/loudon.svg,leven,Loudon,infantry,1017,7-1-4
Leven/rae.svg,leven,Rae,infantry,1115,7-1-4
Leven/hamilton.svg,leven,Hamilton,infantry,1116,7-1-4
Leven/maitland.svg,leven,Maitland,infantry,1117,7-1-4
Leven/artillery_1.svg,leven,"",artillery,1116,""
Leven/artillery_2.svg,leven,"",artillery,1117,""
Fairfax/fairfax_leader.svg,fairfax,Fairfax,leader,1113,1-8
Fairfax/rigby.svg,fairfax,Rigby,infantry,1110,5-2-4
Fairfax/dodding.svg,fairfax,Dodding,infantry,1111,5-2-4
Fairfax/ashton.svg,fairfax,Ashton,infantry,1112,5-2-4
Fairfax/fairfax_infantry.svg,fairfax,Fairfax,infantry,1113,5-2-4
Fairfax/bright.svg,fairfax,Bright,infantry,1312,5-2-4
Fairfax/constable.svg,fairfax,Constable,infantry,1314,5-2-4
Leven/fifeshire.svg,leven,Fifeshire,infantry,1118,7-1-4
Leven/artillery_3.svg,leven,"",artillery,1118,""
Fairfax/artillery.svg,fairfax,"",artillery,1313,""
Fairfax/t_frfx.svg,fairfax,T Frfx,leader,1122,2-8
Fairfax/lambrt_1_heavy_cavalry.svg,fairfax,1/Lambrt,cavalry,1021,5-2-8
Fairfax/lambrt_2_heavy_cavalry.svg,fairfax,2/Lambrt,cavalry,1020,5-2-8
Fairfax/lambrt_3_heavy_cavalry.svg,fairfax,3/Lambrt,cavalry,1019,5-2-8
Fairfax/fairfax_1_heavy_cavalry.svg,fairfax,1/Fairfax,cavalry,1120,6-2-8
Fairfax/fairfax_2_heavy_cavalry.svg,fairfax,2/Fairfax,cavalry,1121,6-2-8
Fairfax/fairfax_3_heavy_cavalry.svg,fairfax,3/Fairfax,cavalry,1122,6-2-8
